    93/299     8.06G   0.02372  0.009971   0.03195   0.06564        23       416    0.4793    0.6323    0.6004    0.5173   0.02292  0.004133    0.0366
    94/299     8.06G   0.02375  0.009906   0.03166   0.06532        70       416    0.5501    0.5836    0.6169    0.5253   0.02223  0.004125   0.03525
    95/299     8.06G   0.02399  0.009861   0.03287   0.06672        25       416    0.4318    0.6439     0.599    0.5112   0.02277  0.004081   0.03853
    96/299     8.06G   0.02416   0.00997   0.03206   0.06619        30       416     0.665    0.5336    0.6173    0.5277   0.02338  0.004158   0.03765
    97/299     8.06G   0.02398      0.01   0.03167   0.06565        25       416    0.5636    0.5696    0.6109    0.5237   0.02328  0.004128   0.03745
    98/299     8.06G   0.02354   0.00968   0.03178     0.065        16       416    0.5214    0.5939    0.6116    0.5196   0.02374  0.004071   0.03815
    99/299     8.06G   0.02386  0.009814   0.03181   0.06548        36       416    0.4993    0.6326     0.626    0.5323   0.02318  0.004109   0.03873
   100/299     8.06G   0.02357  0.009779   0.03105   0.06439        35       416    0.5326    0.6029    0.6304    0.5376   0.02346   0.00415   0.03748
   101/299     8.06G   0.02392  0.009891   0.03079   0.06461        35       416    0.5516    0.5948    0.6186    0.5337     0.023    0.0042   0.03803
   102/299     8.06G   0.02344  0.009621    0.0304   0.06347        30       416    0.5883    0.5758    0.6252    0.5372   0.02243  0.004191   0.03703
   103/299     8.06G   0.02347  0.009662   0.03002   0.06315        29       416    0.5376    0.6317     0.653    0.5611   0.02242  0.004192   0.03699
   104/299     8.06G    0.0236  0.009666   0.03001   0.06328        25       416    0.5327    0.6001    0.6302    0.5435   0.02277    0.0042   0.03696
   105/299     8.06G   0.02344   0.00983    0.0294   0.06267        16       416    0.5385    0.6147    0.6299    0.5409   0.02268  0.004204   0.03699
   106/299     8.06G   0.02337  0.009589   0.03026   0.06322        31       416    0.5958    0.6032    0.6344    0.5445    0.0224  0.004207   0.03626
   107/299     8.06G   0.02356  0.009655   0.02958   0.06279        17       416    0.6062    0.5961    0.6556    0.5593   0.02283  0.004207   0.03589
   108/299     8.06G   0.02362  0.009735   0.02967   0.06303        31       416    0.5456    0.6422    0.6485    0.5596   0.02258  0.004176   0.03606
   109/299     8.06G   0.02348  0.009674   0.02919   0.06235        20       416    0.5905    0.6139    0.6725    0.5808   0.02257  0.004171   0.03613
   110/299     8.06G   0.02346  0.009719   0.02964   0.06281        22       416     0.589    0.6298    0.6705    0.5788   0.02279  0.004162   0.03671
   111/299     8.06G    0.0235  0.009661   0.02913   0.06229        33       416      0.62     0.592    0.6571    0.5647   0.02277  0.004173     0.036
   112/299     8.06G   0.02339  0.009524   0.02938    0.0623        24       416    0.5922    0.6085    0.6634    0.5693   0.02309  0.004186   0.03606
   113/299     8.06G   0.02339  0.009591   0.02886   0.06185        48       416    0.5534    0.6406    0.6558    0.5559   0.02329  0.004135   0.03518
   114/299     8.06G   0.02313  0.009524   0.02766   0.06031        28       416    0.5987    0.6115    0.6642    0.5651   0.02371  0.004146    0.0353
   115/299     8.06G    0.0234   0.00953   0.02748   0.06041        20       416    0.5091    0.6652    0.6685     0.574   0.02393  0.004071    0.0358
   116/299     8.06G   0.02306  0.009387     0.028   0.06045        34       416    0.5999    0.6214    0.6839    0.5874   0.02326   0.00409   0.03589
   117/299     8.06G   0.02329  0.009877   0.02795   0.06112        26       416    0.7043    0.5798    0.6884    0.5924   0.02318   0.00411   0.03507
   118/299     8.06G   0.02288  0.009477   0.02699   0.05934        43       416    0.6549    0.5909    0.6947    0.5963   0.02335  0.004116     0.035
   119/299     8.06G   0.02312  0.009403   0.02699   0.05952        35       416    0.6383    0.5874    0.6806    0.5824   0.02304  0.004122   0.03526
   120/299     8.06G   0.02266  0.009255   0.02683   0.05874        40       416    0.5195    0.6688    0.6895    0.5927   0.02286    0.0041   0.03598
   121/299     8.06G   0.02295  0.009316   0.02638   0.05865        26       416    0.5491    0.6488    0.6966    0.6004   0.02294  0.004103   0.03572
   122/299     8.06G    0.0231  0.009418   0.02717   0.05969        27       416    0.5508    0.6663    0.6905     0.598   0.02241  0.004124   0.03611
   123/299     8.06G   0.02294  0.009459   0.02628   0.05868        34       416    0.5331     0.668     0.692    0.5897   0.02219  0.004164   0.03594
   124/299     8.06G   0.02279  0.009298   0.02633   0.05842        28       416    0.6073    0.6373    0.6956    0.5996   0.02174  0.004136   0.03502
   125/299     8.06G   0.02279   0.00924   0.02596   0.05799        24       416    0.6085    0.6426    0.6981    0.6041    0.0221  0.004117   0.03481
   126/299     8.06G   0.02254  0.009302   0.02607   0.05791        34       416    0.5704    0.6548     0.702    0.6069    0.0226   0.00409   0.03503
   127/299     8.06G   0.02274  0.009389   0.02565   0.05778        18       416    0.6112    0.6471    0.6908    0.5961   0.02259  0.004118   0.03505
   128/299     8.06G   0.02263  0.009281   0.02518   0.05709        26       416     0.597     0.659    0.6936    0.6004   0.02267  0.004105   0.03457
   129/299     8.06G   0.02251   0.00914    0.0256   0.05725        20       416    0.6235    0.6518    0.7033    0.6075   0.02282  0.004124   0.03377
   130/299     8.06G   0.02289  0.009409   0.02561   0.05791        29       416    0.6094    0.6494    0.7098     0.611   0.02314  0.004094   0.03437
   131/299     8.06G   0.02236  0.009106   0.02515   0.05662        27       416    0.5505    0.6888    0.7107    0.6119   0.02304  0.004033   0.03419
   132/299     8.06G   0.02233  0.009183   0.02503   0.05654        30       416    0.6082    0.6649    0.7078    0.6096   0.02269  0.004051   0.03361
   133/299     8.06G   0.02238  0.009262    0.0244   0.05604        28       416    0.5593    0.6928    0.7077     0.611   0.02285  0.004071   0.03391
   134/299     8.06G   0.02249  0.008992    0.0242   0.05568        29       416     0.601    0.6578    0.7034    0.6059   0.02276  0.004091   0.03348
   135/299     8.06G   0.02223  0.008983   0.02481   0.05602        24       416    0.6707     0.606    0.7172    0.6208    0.0224  0.004131   0.03295
   136/299     8.06G   0.02241  0.009177   0.02494   0.05652        41       416    0.5991    0.6467    0.7198    0.6233   0.02236  0.004141   0.03364
   137/299     8.06G   0.02232  0.009089   0.02452   0.05593        33       416    0.6496    0.6187    0.7214     0.624   0.02244  0.004166    0.0342
   138/299     8.06G   0.02224   0.00896   0.02337   0.05457        33       416    0.6193    0.6318    0.7158    0.6157   0.02234  0.004226    0.0349
   139/299     8.06G   0.02208  0.008994   0.02425   0.05532        35       416    0.6202    0.6365    0.7102    0.6085   0.02246  0.004242   0.03521
   140/299     8.06G    0.0225  0.009233   0.02437   0.05611        17       416    0.7256    0.5818    0.7095    0.6089   0.02247  0.004252   0.03522
   141/299     8.06G   0.02203  0.008962    0.0239   0.05489        19       416    0.6233     0.634    0.7083    0.6097   0.02224  0.004246   0.03501
   142/299     8.06G   0.02211  0.008979   0.02302    0.0541        21       416     0.667    0.5981    0.7112    0.6153   0.02234   0.00423   0.03473
   143/299     8.06G   0.02202  0.009076   0.02312   0.05421        18       416    0.6052    0.6431    0.7154    0.6198   0.02232  0.004222   0.03515
   144/299     8.06G   0.02218  0.008764   0.02321   0.05415        23       416    0.6069    0.6654    0.7207     0.624   0.02246  0.004232   0.03492
   145/299     8.06G   0.02217  0.009175    0.0234   0.05475        33       416     0.612    0.6563    0.7267    0.6263   0.02267   0.00424   0.03466
   146/299     8.06G   0.02187  0.008896   0.02308   0.05385        28       416    0.5585    0.7053    0.7244    0.6255   0.02265  0.004232    0.0345
   147/299     8.06G   0.02164  0.008764   0.02302   0.05342        30       416    0.5596     0.692    0.7218    0.6257   0.02291  0.004216   0.03436
   148/299     8.06G   0.02191  0.008835   0.02272   0.05346        16       416    0.5841    0.6804    0.7222    0.6261   0.02279  0.004225   0.03388
   149/299     8.06G   0.02185  0.008899   0.02253   0.05328        34       416     0.641    0.6523    0.7204    0.6244   0.02271   0.00422   0.03339
   150/299     8.06G   0.02164  0.008669   0.02255   0.05286        16       416    0.6437    0.6543    0.7199    0.6236   0.02279  0.004252   0.03319
   151/299     8.06G   0.02153  0.008662   0.02226   0.05245        25       416    0.6412    0.6605    0.7255    0.6285   0.02241  0.004288   0.03303
   152/299     8.06G   0.02168  0.008876   0.02258   0.05314        35       416    0.6679     0.645    0.7282    0.6325   0.02206  0.004302   0.03257
   153/299     8.06G    0.0213  0.008699   0.02203   0.05203        27       416    0.6102     0.683    0.7264    0.6272   0.02179  0.004308   0.03248
   154/299     8.06G    0.0214  0.008788   0.02189   0.05207        24       416    0.6518    0.6591    0.7293    0.6313   0.02175   0.00433   0.03282
   155/299     8.06G   0.02176  0.008801   0.02201   0.05257        17       416    0.6647    0.6543    0.7371    0.6365   0.02173  0.004338   0.03278
   156/299     8.06G   0.02158  0.008897   0.02171   0.05219        27       416     0.597     0.701    0.7377    0.6367   0.02167  0.004353   0.03256
   157/299     8.06G   0.02144  0.008725   0.02201   0.05217        23       416    0.6667    0.6504    0.7385    0.6396   0.02163  0.004349   0.03221
   158/299     8.06G   0.02148  0.008863   0.02102   0.05136        22       416    0.6738    0.6404    0.7404    0.6413    0.0216  0.004354   0.03213
   159/299     8.06G   0.02126  0.008558   0.02117   0.05099        26       416    0.6686    0.6472    0.7406    0.6421   0.02172  0.004372   0.03217
   160/299     8.06G    0.0214   0.00887   0.02096   0.05123        57       416    0.6587    0.6499    0.7369    0.6374   0.02179  0.004346   0.03235
   161/299     8.06G   0.02108  0.008575   0.02078   0.05043        35       416     0.682    0.6515    0.7446    0.6463   0.02183  0.004308   0.03213
   162/299     8.06G   0.02101  0.008761    0.0207   0.05047        36       416     0.696    0.6301    0.7516    0.6511   0.02175  0.004308     0.032
   163/299     8.06G   0.02114  0.008529    0.0205   0.05017        49       416    0.6832    0.6368    0.7475    0.6472   0.02186  0.004298     0.032
   164/299     8.06G   0.02077  0.008449   0.01973   0.04895        28       416    0.6431    0.6581    0.7451    0.6463    0.0219  0.004294   0.03201
   165/299     8.06G   0.02085  0.008442   0.02062   0.04992        28       416    0.6456    0.6617    0.7458    0.6452   0.02194  0.004306   0.03195
   166/299     8.06G   0.02103  0.008628   0.02039   0.05005        42       416    0.6612     0.663      0.74     0.641   0.02206  0.004295   0.03213
   167/299     8.06G   0.02096  0.008442   0.02015   0.04956        36       416    0.6533    0.6689    0.7387    0.6398   0.02207  0.004267   0.03231
   168/299     8.06G   0.02085  0.008477   0.01873   0.04806        18       416    0.6372    0.6679    0.7386    0.6403   0.02213  0.004264   0.03259
   169/299     8.06G   0.02074  0.008507    0.0196   0.04885        23       416    0.6617    0.6564    0.7353    0.6365    0.0222  0.004272    0.0326
   170/299     8.06G   0.02074  0.008294    0.0196   0.04863        13       416    0.6849    0.6478    0.7404    0.6416   0.02215  0.004267   0.03238
   171/299     8.06G   0.02087  0.008346   0.01973   0.04895        21       416    0.6946    0.6398    0.7429    0.6437   0.02209  0.004262   0.03227
   172/299     8.06G   0.02088  0.008432   0.01945   0.04876        26       416    0.6932    0.6519    0.7479    0.6487   0.02208  0.004253   0.03231
   173/299     8.06G   0.02077  0.008315   0.01827   0.04735        27       416    0.6603    0.6783    0.7446    0.6458    0.0221  0.004254   0.03242
   174/299     8.06G   0.02051  0.008531   0.01903   0.04806        25       416    0.6566    0.6776    0.7501    0.6492   0.02201  0.004257   0.03247
   175/299     8.06G   0.02055  0.008349   0.01916   0.04806        31       416    0.6624    0.6654    0.7529    0.6535   0.02195  0.004272   0.03245
   176/299     8.06G   0.02054  0.008286   0.01899   0.04782        48       416    0.6784    0.6599    0.7498    0.6506   0.02198  0.004268   0.03252
